,ID_Improved,Student,Test Run,Heuristic
0,42.142857142857146,85.0,1,blank space
1,46.42857142857143,73.57142857142857,2,blank space
2,37.857142857142854,77.85714285714286,3,blank space
3,40.714285714285715,77.14285714285714,4,blank space
4,44.28571428571429,77.85714285714286,5,blank space
5,41.42857142857143,77.85714285714286,6,blank space
6,45.714285714285715,75.71428571428571,7,blank space
7,45.714285714285715,75.0,8,blank space
8,35.714285714285715,80.0,9,blank space
9,35.714285714285715,82.85714285714286,10,blank space
