,ID_Improved,Student,Test Run,Heuristic
0,43.57142857142857,75.71428571428571,1,non_overlapping
1,40.714285714285715,70.0,2,non_overlapping
2,48.57142857142857,70.71428571428571,3,non_overlapping
3,45.0,72.85714285714286,4,non_overlapping
4,38.57142857142857,75.0,5,non_overlapping
5,40.714285714285715,71.42857142857143,6,non_overlapping
6,41.42857142857143,75.0,7,non_overlapping
7,42.142857142857146,72.85714285714286,8,non_overlapping
8,38.57142857142857,70.0,9,non_overlapping
9,45.0,73.57142857142857,10,non_overlapping
